qx_trax_ac_pn_transaction_history,transaction,STRING,NO
qx_trax_ac_pn_transaction_history,transaction_item,DECIMAL,NO
qx_trax_ac_pn_transaction_history,transaction_type,STRING,YES
qx_trax_ac_pn_transaction_history,ac,STRING,YES
qx_trax_ac_pn_transaction_history,transaction_date,TIMESTAMP,YES
qx_trax_ac_pn_transaction_history,transaction_hour,DECIMAL,YES
qx_trax_ac_pn_transaction_history,transaction_minute,DECIMAL,YES
qx_trax_ac_pn_transaction_history,defect_type,STRING,YES
qx_trax_ac_pn_transaction_history,defect,STRING,YES
qx_trax_ac_pn_transaction_history,defect_item,DECIMAL,YES
qx_trax_ac_pn_transaction_history,wo,DECIMAL,YES
qx_trax_ac_pn_transaction_history,task_card,STRING,YES
qx_trax_ac_pn_transaction_history,goods_rcvd_batch,DECIMAL,YES
qx_trax_ac_pn_transaction_history,pn,STRING,YES
qx_trax_ac_pn_transaction_history,sn,STRING,YES
qx_trax_ac_pn_transaction_history,position,STRING,YES
qx_trax_ac_pn_transaction_history,reason_category,STRING,YES
qx_trax_ac_pn_transaction_history,schedule_category,STRING,YES
qx_trax_ac_pn_transaction_history,hours_installed,DECIMAL,YES
qx_trax_ac_pn_transaction_history,minutes_installed,DECIMAL,YES
qx_trax_ac_pn_transaction_history,cycles_installed,DECIMAL,YES
qx_trax_ac_pn_transaction_history,days_installed,DECIMAL,YES
qx_trax_ac_pn_transaction_history,nha_pn,STRING,YES
qx_trax_ac_pn_transaction_history,nha_sn,STRING,YES
qx_trax_ac_pn_transaction_history,nla,STRING,YES
qx_trax_ac_pn_transaction_history,notes,DECIMAL,YES
qx_trax_ac_pn_transaction_history,created_by,STRING,YES
qx_trax_ac_pn_transaction_history,created_date,TIMESTAMP,YES
qx_trax_ac_pn_transaction_history,modified_by,STRING,YES
qx_trax_ac_pn_transaction_history,modified_date,TIMESTAMP,YES
qx_trax_ac_pn_transaction_history,batch,DECIMAL,YES
qx_trax_ac_pn_transaction_history,non_sn,STRING,YES
qx_trax_ac_pn_transaction_history,station,STRING,YES
qx_trax_ac_pn_transaction_history,recurrent,DECIMAL,YES
qx_trax_ac_pn_transaction_history,status,STRING,YES
qx_trax_ac_pn_transaction_history,transaction_type_control,STRING,YES
qx_trax_ac_pn_transaction_history,chapter,DECIMAL,YES
qx_trax_ac_pn_transaction_history,section,DECIMAL,YES
